year,region,x_Longitude,y_latitude,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured,driving_licenses
2016,Al-Baha,20.1484058503, 41.4665484892,3618.0,185.0,1227.0,4614
2016,Al-Jouf,29.9677445762, 39.5570371172,10212.0,245.0,920.0,9371
2016,Al-Qaseem,26.1967063704, 43.3429998455,25664.0,397.0,1513.0,9180
2016,Asir,19.1387847401, 42.941470036,32684.0,983.0,2541.0,41367
2016,Eastern Region,23.2883307307, 50.1478302439,101619.0,1113.0,4893.0,142307
2016,Hail,27.400845724, 41.4406960508,10199.0,299.0,932.0,54507
2016,Jazan,17.2072313962, 42.6525807422,25873.0,514.0,2259.0,11504
2016,Madinah,24.927534539, 39.4918237173,14475.0,822.0,4184.0,24540
2016,Makkah,21.628962766, 41.2636898334,134838.0,2243.0,12383.0,136055
2016,Najran,18.4511003068, 46.8688495726,3235.0,173.0,706.0,2153
2016,Northern Boarder,30.197074783, 41.8171186952,13196.0,193.0,631.0,4958
2016,Riyadh,23.0814341634, 45.5857512766,141736.0,1430.0,4207.0,242851
2016,Tabouk,27.90165499, 37.2598581394,16031.0,434.0,1724.0,13610
2017,Al-Baha,20.1484058503, 41.4665484892,1414.0,134.0,1007.0,4131
2017,Al-Jouf,29.9677445762, 39.5570371172,10469.0,240.0,862.0,8091
2017,Al-Qaseem,26.1967063704, 43.3429998455,22405.0,319.0,1446.0,6318
2017,Asir,19.1387847401, 42.941470036,25245.0,828.0,2368.0,39133
2017,Eastern Region,23.2883307307, 50.1478302439,81433.0,963.0,4073.0,126816
2017,Hail,27.400845724, 41.4406960508,9379.0,265.0,773.0,22035
2017,Jazan,17.2072313962, 42.6525807422,22161.0,466.0,2207.0,18345
2017,Madinah,24.927534539, 39.4918237173,16070.0,580.0,2917.0,36165
2017,Makkah,21.628962766, 41.2636898334,145541.0,1641.0,10623.0,142487
2017,Najran,18.4511003068, 46.8688495726,3193.0,194.0,766.0,13825
2017,Northern Boarder,30.197074783, 41.8171186952,11540.0,112.0,374.0,5280
2017,Riyadh,23.0814341634, 45.5857512766,99925.0,1399.0,4540.0,495307
2017,Tabouk,27.90165499, 37.2598581394,11713.0,348.0,1243.0,10232
1993,Al-Baha,20.1484058503, 41.4665484892,,,,3270
1993,Al-Jouf,29.9677445762, 39.5570371172,,,,2884
1993,Al-Qaseem,26.1967063704, 43.3429998455,,,,73618
1993,Asir,19.1387847401, 42.941470036,,,,6226
1993,Eastern Region,23.2883307307, 50.1478302439,,,,9964
1993,Hail,27.400845724, 41.4406960508,,,,10484
1993,Jazan,17.2072313962, 42.6525807422,,,,6009
1993,Madinah,24.927534539, 39.4918237173,,,,4122
1993,Makkah,21.628962766, 41.2636898334,,,,65977
1993,Najran,18.4511003068, 46.8688495726,,,,3769
1993,Northern Boarder,30.197074783, 41.8171186952,,,,1510
1993,Riyadh,23.0814341634, 45.5857512766,,,,103886
1993,Tabouk,27.90165499, 37.2598581394,,,,3174
1994,Al-Baha,20.1484058503, 41.4665484892,,,,2729
1994,Al-Jouf,29.9677445762, 39.5570371172,,,,2535
1994,Al-Qaseem,26.1967063704, 43.3429998455,,,,68916
1994,Asir,19.1387847401, 42.941470036,,,,5185
1994,Eastern Region,23.2883307307, 50.1478302439,,,,10918
1994,Hail,27.400845724, 41.4406960508,,,,11131
1994,Jazan,17.2072313962, 42.6525807422,,,,3826
1994,Madinah,24.927534539, 39.4918237173,,,,3767
1994,Makkah,21.628962766, 41.2636898334,,,,75349
1994,Najran,18.4511003068, 46.8688495726,,,,3880
1994,Northern Boarder,30.197074783, 41.8171186952,,,,1457
1994,Riyadh,23.0814341634, 45.5857512766,,,,110545
1994,Tabouk,27.90165499, 37.2598581394,,,,3282
1995,Al-Baha,20.1484058503, 41.4665484892,,,,2423
1995,Al-Jouf,29.9677445762, 39.5570371172,,,,2270
1995,Al-Qaseem,26.1967063704, 43.3429998455,,,,49690
1995,Asir,19.1387847401, 42.941470036,,,,4889
1995,Eastern Region,23.2883307307, 50.1478302439,,,,7831
1995,Hail,27.400845724, 41.4406960508,,,,9735
1995,Jazan,17.2072313962, 42.6525807422,,,,2284
1995,Madinah,24.927534539, 39.4918237173,,,,4155
1995,Makkah,21.628962766, 41.2636898334,,,,60356
1995,Najran,18.4511003068, 46.8688495726,,,,3268
1995,Northern Boarder,30.197074783, 41.8171186952,,,,1318
1995,Riyadh,23.0814341634, 45.5857512766,,,,101608
1995,Tabouk,27.90165499, 37.2598581394,,,,2051
1996,Al-Baha,20.1484058503, 41.4665484892,,,,1468
1996,Al-Jouf,29.9677445762, 39.5570371172,,,,2518
1996,Al-Qaseem,26.1967063704, 43.3429998455,,,,42693
1996,Asir,19.1387847401, 42.941470036,,,,3319
1996,Eastern Region,23.2883307307, 50.1478302439,,,,8461
1996,Hail,27.400845724, 41.4406960508,,,,10267
1996,Jazan,17.2072313962, 42.6525807422,,,,2226
